Fecha,Resultado,Confianza (%),Archivo Guardado,Imagen Original
16/08/2026 14:33:43,APTO,,100.00,archivo_20260816_143341.jpg,Archivo local
16/08/2026 14:35:43,NO APTO,Rota,47.79,archivo_20260816_143543.jpg,Archivo local
16/08/2026 14:36:12,APTO,,100.00,archivo_20260816_143612.jpg,Archivo local
16/08/2026 14:36:33,NO APTO,Sin_backplate,80.79,archivo_20260816_143632.jpg,Archivo local
16/08/2026 14:47:02,APTO,,100.00,archivo_20260816_144702.jpg,Archivo local
16/08/2026 14:47:34,APTO,,100.00,archivo_20260816_144734.jpg,Archivo local
16/08/2026 14:48:58,APTO,,100.00,archivo_20260816_144857.jpg,Archivo local
16/08/2026 14:49:19,NO APTO,Sin_backplate,67.40,archivo_20260816_144919.jpg,Archivo local
16/08/2026 14:51:11,APTO,,100.00,archivo_20260816_145110.jpg,Archivo local
16/08/2026 14:51:35,NO APTO,Manchada,61.13,archivo_20260816_145134.jpg,Archivo local
16/08/2026 14:52:00,APTO,,100.00,archivo_20260816_145159.jpg,Archivo local
16/08/2026 14:52:19,NO APTO,Sin_backplate,64.64,archivo_20260816_145219.jpg,Archivo local
16/08/2026 14:52:51,APTO,,100.00,archivo_20260816_145251.jpg,Archivo local
16/08/2026 14:53:17,APTO,,100.00,archivo_20260816_145317.jpg,Archivo local
16/08/2026 14:53:41,NO APTO,Manchada,49.01,archivo_20260816_145340.jpg,Archivo local
16/08/2026 14:54:01,APTO,,100.00,archivo_20260816_145400.jpg,Archivo local
16/08/2026 14:54:22,NO APTO,Sin_backplate,50.18,archivo_20260816_145422.jpg,Archivo local
16/08/2026 14:54:44,APTO,,100.00,archivo_20260816_145443.jpg,Archivo local
16/08/2026 14:55:05,APTO,,100.00,archivo_20260816_145504.jpg,Archivo local
16/08/2026 14:56:44,NO APTO,Manchada,61.00,archivo_20260816_145644.jpg,Archivo local
16/08/2026 14:57:18,APTO,,100.00,archivo_20260816_145718.jpg,Archivo local
16/08/2026 14:57:43,APTO,,100.00,archivo_20260816_145742.jpg,Archivo local
16/08/2026 14:58:08,APTO,,100.00,archivo_20260816_145808.jpg,Archivo local
16/08/2026 14:58:31,NO APTO,Sin_backplate,80.91,archivo_20260816_145830.jpg,Archivo local
16/08/2026 14:58:54,APTO,,100.00,archivo_20260816_145853.jpg,Archivo local
16/08/2026 14:59:15,APTO,,100.00,archivo_20260816_145915.jpg,Archivo local
16/08/2026 14:59:39,NO APTO,Manchada,50.88,archivo_20260816_145939.jpg,Archivo local
16/08/2026 15:00:01,NO APTO,Rota,48.88,archivo_20260816_150000.jpg,Archivo local
16/08/2026 15:01:23,APTO,,100.00,archivo_20260816_150122.jpg,Archivo local
16/08/2026 15:01:55,NO APTO,Sin_backplate,58.65,archivo_20260816_150155.jpg,Archivo local
16/08/2026 15:02:21,APTO,,100.00,archivo_20260816_150220.jpg,Archivo local
16/08/2026 15:02:39,APTO,,100.00,archivo_20260816_150238.jpg,Archivo local
16/08/2026 15:03:01,NO APTO,Manchada,70.56,archivo_20260816_150300.jpg,Archivo local
16/08/2026 15:03:30,APTO,,100.00,archivo_20260816_150329.jpg,Archivo local
16/08/2026 15:04:17,NO APTO,Rota,36.00,archivo_20260816_150416.jpg,Archivo local
16/08/2026 15:04:39,APTO,,100.00,archivo_20260816_150439.jpg,Archivo local
16/08/2026 15:05:05,NO APTO,Sin_backplate,63.02,archivo_20260816_150505.jpg,Archivo local
16/08/2026 15:05:39,APTO,,100.00,archivo_20260816_150539.jpg,Archivo local
